title	type	url_slug	venue	date	location	talk_url	description
Cambios de la precipitación en Sudamérica simulados por los modelos PMIP3/CMIP5 en la pequeña edad de hielo y el clima presente	Talk	talk-1	XII Congreso Argentino de Meteorología	2015-05-26	Mar del Plata, Argentina	NaN	NaN
South American precipitation changes simulated by PMIP3/CMIP5 models during the Little Ice Age and the recent Global Warming Period	Talk	talk-2	11th meeting of the International Conference on Southern Hemisphere Meteorology and Oceanography	2015-10-06	Santiago, Chile	NaN	NaN
Influencia de la variabilidad climática de gran escala sobre la precipitación de verano del sudeste de Sudamérica en las predicciones decadales del CMIP5	Talk	talk-3	XIII Congreso Argentino de Meteorología (CONGREMET XIII)	2018-10-19	Rosario, Argentina	NaN	NaN
Challenges in Providing Climate information for South Eastern South America (SESA)	Talk	talk-4	Advancing Research for Regional Climate Information	2020-06-29	Virtual	NaN	NaN
Attribution of observed precipitation trends in Southern South America	Talk	talk-5	WCRP Workshop on 'Attribution of multi-annual to decadal changes in the climate system'	2021-09-22	Virtual	NaN	NaN
Tendencias en la lluvia del Sur de Sudamérica: Causas e incertidumbres a partir de modelos CMIP	Invited talk	talk-6	Seminarios de Glaciología del Centro de Estudios Científicos (CECs) de Valdivia (Chile)	2021-10-14	Virtual	NaN	NaN
Attribution of observed precipitation trends in Southern South America	Talk	talk-7	13th meeting of the International Conference on Southern Hemisphere Meteorology and Oceanography	2022-02-09	Virtual	NaN	NaN
Tendencias observadas en la lluvia del Sur de Sudamérica: Causas e incertidumbres a partir de modelos globales acoplados CMIP	Invited talk	talk-8	Coloquios del Departamento de Ciencias de la Atmósfera y los Océanos (DCAO)/Centro de Investigaciones del Mar y la Atmósfera (CIMA)	2022-04-07	Buenos Aires, Argentina	NaN	NaN
Precipitation trends in Southern South America in the last centuries: attribution and mechanisms	Talk	talk-9	EGU General Assembly 2022	2022-05-23	Virtual	NaN	NaN
Influencia antropogénica de las tendencias observadas de precipitación en el sur de América del Sur	Talk	talk-10	XIV Congreso Argentino de Meteorología (CONGREMET)	2022-11-08	Buenos Aires, Argentina	NaN	NaN
Attribution of climatic changes over South America	Talk	talk-11	WCRP EPESC/DCPP workshop on integrated attribution and prediction	2022-11-08	Exeter, Great Britain	NaN	NaN
Crisis Climática: de la investigación a la popularización	Invited talk	talk-12	Seminarios de Cambio Climático del Programa de Estudios de Cambio Climático de la Universidad Veracruzana	2022-11-08	Virtual	NaN	NaN

